"user_id","energy","liveness","tempo","speechiness","acousticness","instrumentalness","danceability","loudness","valence","mffc1.mean","mffc2.mean","mffc3.mean","mffc4.mean","mffc5.mean","mffc6.mean","mffc7.mean","mffc8.mean","mffc9.mean","mffc10.mean","mffc11.mean","mffc12.mean","mffc1.variance","mffc2.variance","mffc3.variance","mffc4.variance","mffc5.variance","mffc6.variance","mffc7.variance","mffc8.variance","mffc9.variance","mffc10.variance","mffc11.variance","mffc12.variance"
"User_739597",0.6396,0.20663,111.6351,0.04253,0.21904,0.0750982,0.5702,-7.6079,0.4126,47.5653787559,16.9174534617,-3.8144483284,-9.5950701536,15.6221850876,-24.403777749,-3.6792516855,-2.0416811282,-4.2280836882,-0.3292930691,-7.9738620887,1.3322317085,34.1856067032,2256.5616935351,1502.4825288068,1193.2928592457,623.4216215837,659.4626094079,493.6615207386,450.3521271441,229.4740486176,265.3356951752,215.3339445097,188.3418591281
"User_431884",0.7641875,0.174,112.848625,0.08086875,0.105742125,0.0429302256,0.5225625,-6.7684375,0.5699375,49.0486172608,46.815716047,6.9640670181,-4.3443274741,14.6894230828,-22.2596575903,-0.7592939816,1.9613899104,-7.6652011569,1.2016996731,-9.4936749153,-1.0976287193,25.7199987382,1965.608760529,1519.5268227434,1370.282098102,717.0636623269,729.479586824,488.6538936805,429.2870782778,255.0670188253,259.9900547174,268.01651634,194.9919536401
"User_214560",0.7343333333,0.1313333333,115.5673333333,0.0344333333,0.38287,0.1205426233,0.5516666667,-6.454,0.4453333333,49.7269824878,44.3462045772,15.4507630503,0.4439178232,24.6451954656,-26.9680090274,-9.068843631,1.7329056808,-11.64980871,1.4258084791,-7.5834375805,1.4921853762,36.014358785,1823.5118881557,1305.0324702009,1026.9113184445,698.203105774,544.6179490111,629.1936313021,361.2548738565,240.533734176,245.2663598037,161.6698067073,175.3117434782
"User_82219",0.7295454545,0.2370545455,121.2919090909,0.0437363636,0.4329256364,0.1641959636,0.6100909091,-7.0481818182,0.6654545455,48.3179338744,21.1890712044,2.950247676,0.9993766737,20.8563534913,-20.8418552796,-5.8554123235,-4.5175766382,-5.0197555005,-0.5236420905,-9.2781763858,-0.5201739193,28.8395929968,1906.7422249135,1626.2227120303,1440.2663324146,607.9450043201,1000.4418296241,466.0762652028,416.1403718804,242.3684360092,270.7155756649,284.071808131,184.0111836065
"User_1561172",0.5722,0.1170933333,110.9362333333,0.05562,0.3417993333,0.1307893997,0.5814666667,-8.9061,0.5028666667,45.6480848739,9.7910655691,-3.7236706133,-5.8166770572,15.0577532079,-19.7367220411,-2.602427759,-2.7638804053,-5.0360488395,-0.3680216596,-10.5592910027,0.243289557,44.4139932667,2759.8273718881,1955.4649127612,1620.7256264771,690.9892536873,908.4851950423,527.8249816531,502.6093635318,255.7304205505,284.0080949864,283.9179612536,199.5162875565
"User_275517",0.7757142857,0.2474,124.8437142857,0.1297571429,0.0433251429,0.2132662857,0.5635714286,-6.9005714286,0.5062857143,48.1618451254,28.2753501273,-5.5234796839,-4.7331897268,14.1996428345,-25.6991906441,2.2419420506,2.3708756574,-3.342019277,2.8858356295,-13.0857300523,-4.0718762712,45.2708563962,2567.7105774471,2190.4140905209,1675.9722957753,725.306066213,966.1499965722,493.3068933662,457.9726356815,213.7015669232,274.7623040792,316.8497868725,162.2097996557
"User_387786",0.72325,0.25075,125.40725,0.0586,0.0223188375,0.1707627263,0.498625,-5.45,0.52,51.05804098,44.1179814467,16.6100656957,-5.9157053056,2.6613110432,-24.765328723,5.4834999205,1.5292084911,-5.820225511,0.1080089439,-10.2037078396,-3.5129996108,26.7341389465,1524.7072970348,1459.8196282337,1146.2534043158,720.7551988265,610.6564874577,492.2962853337,364.6981052901,244.8801562609,214.1573536494,245.9923039557,182.9507344795
"User_990965",0.922,0.0965,130.972,0.0558,0.0221,2.04e-05,0.607,-2.526,0.577,53.6861035912,79.9513798343,-1.3522651934,-11.9637292818,11.8056767956,-25.2827154696,-9.5869917127,-2.9950372928,0.152198895,3.6049212707,-10.5055524862,3.1809820442,31.0876512244,2283.2750616605,1756.403492126,1165.5159028257,401.5477469604,652.652406616,635.2881140802,523.0442717759,251.1583224555,234.3435338596,290.7929251024,203.3469576414
"User_112541",0.49,0.22455,103.2015,0.11721,0.4302055,0.678775,0.4831,-12.3559,0.37912,42.5164664156,-3.6892157382,6.8644705806,-4.8342943227,17.0243567646,-29.2413003498,-1.6293062774,-4.0846318434,-10.5088716484,-1.7744889493,-6.4515580595,2.7761839667,41.1963074545,2918.8208187702,1927.3350025093,1141.3949120713,731.3831411103,634.1590523029,439.8906689988,357.792106307,339.0946388918,300.5583152772,193.7702744748,193.355836654
"User_333137",0.5507142857,0.1587428571,123.9305714286,0.0559928571,0.3709671429,0.0031674857,0.532,-7.8770714286,0.461,47.5387283443,24.3940289677,3.2773794736,-9.0287733126,18.291455884,-18.5209862954,-7.5829259109,-2.6206608964,-8.0922130248,0.6294669769,-9.7577683077,0.011590458,41.078117512,2118.8981670696,1325.4169614601,1538.2636133435,617.9808362092,714.8364730061,513.6808187142,497.7037539243,232.8144670631,305.4708989406,264.5483194074,192.1868411218
"User_132307",0.6945882353,0.2270058824,121.0605882353,0.0874647059,0.1427870588,0.2467359282,0.6127647059,-6.9463529412,0.4044117647,47.3057199577,16.7520593238,-2.9546989645,-4.6340781229,11.6428017442,-21.8732996567,1.8490106364,0.0171956664,-5.4431415268,0.4684006468,-11.3539519711,-0.7378165121,49.2950584756,2566.1485247065,1884.2943264893,1668.778557327,696.5104503307,869.8958120848,518.8075920539,539.9820244871,274.6575743849,303.9532723017,293.3623837837,191.95197548
"User_1155376",0.7876666667,0.1724,116.6406666667,0.0571333333,0.09906,3.66666666666667e-05,0.5046666667,-7.5163333333,0.525,49.373405359,41.3553676591,10.7172868317,-11.7148775928,13.4346086332,-25.3456732984,-4.4972856541,-0.6398041215,-10.5527534118,0.1228969416,-7.3978692655,-3.603218588,20.8930401541,1131.097834903,1099.8811437556,743.9157714317,515.536259354,390.0731830395,482.0174953473,335.4341649688,178.6203389918,227.7637809215,172.8082220623,183.5441189326
