"user_id","energy","liveness","tempo","speechiness","acousticness","instrumentalness","danceability","loudness","valence","mffc1.mean","mffc2.mean","mffc3.mean","mffc4.mean","mffc5.mean","mffc6.mean","mffc7.mean","mffc8.mean","mffc9.mean","mffc10.mean","mffc11.mean","mffc12.mean","mffc1.variance","mffc2.variance","mffc3.variance","mffc4.variance","mffc5.variance","mffc6.variance","mffc7.variance","mffc8.variance","mffc9.variance","mffc10.variance","mffc11.variance","mffc12.variance"
"User_103233",0.3705,0.1106333333,116.7173333333,0.04285,0.67508,0.303259135,0.4561666667,-15.0386666667,0.3474166667,39.9751965905,-48.6138599803,-12.1267231785,-19.7033165365,25.0349206181,-25.9740687297,-5.9369155558,-1.3246838048,-6.2317736451,-3.0810218097,-7.9412112047,1.2850678998,42.1660334938,2906.5490934878,1561.7142447658,1214.8354913451,744.6903569641,588.2145793315,609.131538456,552.7678543329,277.8696443238,265.4550423039,217.1765401394,203.2424635321
"User_512136",0.3756666667,0.1815777778,115.3621111111,0.0311666667,0.4789322222,0.1129582444,0.4861111111,-9.7628888889,0.267,44.1790615398,-7.8579923147,-8.6239143639,-16.2820624097,14.6654343225,-21.747110046,-7.4321241533,-4.7000939018,-4.3980267931,-2.4621977989,-8.4492168111,1.3233150914,44.4093848417,3012.8537566299,1522.1008662731,1691.8396584874,732.0032816833,719.3363608375,470.2646207367,563.5948603064,239.4142385281,277.5408047006,277.3595614445,189.0061810958
"User_885255",0.322375,0.14925,132.429,0.0364125,0.759875,0.1917391375,0.417375,-12.43575,0.2199,42.1741623099,-45.9737517233,-6.6430774458,-20.1712883092,21.9062825416,-23.1514548632,-10.3191019575,-4.3029852071,-5.2166481052,-4.5321406493,-6.4362502553,4.2130381527,48.0164278567,3400.6342466533,1346.0541575216,1384.4756839555,696.9522942698,549.4953099463,460.8369656908,469.2541741535,253.106946123,254.1134683748,191.0099879355,173.902668763
"User_541340",0.452,0.0939,146.945,0.0372,0.878,0.392,0.635,-15.037,0.885,41.4299249677,-49.2809172057,-50.1667826649,-17.7796287193,18.8477270375,-22.1961474774,-10.1768758085,-7.7520776197,-6.885549806,-5.2687736093,-4.6377231565,13.4932199224,24.774915528,2185.4488611279,898.6885123258,1713.7641337622,428.0134740744,976.6567807658,339.4019505338,596.9934868774,190.2019723178,293.4537675251,241.5283432315,142.6919264257
"User_987366",0.303,0.312,107.103,0.0971,0.865,0.0239,0.511,-14.688,0.238,37.2277351695,-50.3902002119,-6.6859936441,-8.6777341102,24.8709152542,-16.156378178,2.6374375,-3.3371769068,-6.106967161,-1.4886864407,-11.4939067797,4.866717161,98.2638566233,3777.1146018825,2264.3681835949,1876.3380107871,768.5225241264,994.0553389947,432.0118542273,501.5221185996,221.1866767953,326.6226515368,381.6736337707,246.4643056304
"User_553439",0.282725,0.11085,106.561875,0.0410125,0.688625,0.00608928,0.578375,-13.03275,0.3731375,40.6275539399,-20.1758433685,-26.5601792299,-18.766049824,27.0819541492,-15.6281249996,-10.1972513813,-7.0091058029,-2.9907444451,-3.065541919,-10.518593118,4.3771232691,46.6981566794,3520.7332780965,1543.4539553315,2219.7187641561,693.5152129552,897.2075202797,606.2263452626,650.7618842108,314.1054999374,361.6760873615,372.6341383653,208.0631834332
"User_25360",0.4231428571,0.2113214286,117.1572142857,0.03765,0.4082880714,0.2154485671,0.4294285714,-10.7874285714,0.2296642857,44.0773774528,-1.8271955747,10.1106811864,-11.0075429212,17.1499333381,-25.3811218194,-2.9020934067,-3.4872234898,-4.4830641692,-2.3758068877,-7.6597580586,1.42562095,52.6048581878,3610.5503398961,1788.6530369035,1187.3952554277,585.8886845069,465.3690200968,492.5024606106,377.3081115564,297.5127646396,215.304818098,178.300901432,214.9790103496
"User_66437",0.3783333333,0.116,118.2746666667,0.0388,0.5114324444,0.0356623678,0.479,-11.1452222222,0.2488888889,42.2161014025,-19.062247747,-18.1202864012,-18.6634668947,7.5015399194,-20.3635867306,-7.1557540199,-5.1147545979,-7.2395149862,-3.8181451047,-9.0115102992,-0.1867522826,57.5365108632,3974.6153889697,2199.8833547866,1697.1835010505,819.6357053321,749.9075705489,558.8012872214,564.2644323822,298.1704073456,304.8034517615,304.742808745,225.2008185337
"User_110920",0.2657172222,0.1266222222,110.3853888889,0.0406555556,0.7212333333,0.2903295222,0.4627777778,-14.3687222222,0.2254888889,39.8801790994,-41.0768034227,-19.1479404372,-19.1013654378,20.1422880746,-23.5884482438,-3.3610561032,-3.6500220305,-6.9800612336,-3.2769221308,-7.9521409775,6.7914087921,52.4422125977,3450.0499806259,1702.5400224831,1621.0294350602,637.6261522092,712.8739059736,475.2184987858,517.8920910262,279.6247370901,269.1605425183,247.6749975715,183.6189841472
"User_427515",0.5006111111,0.1411666667,128.3998888889,0.0535055556,0.3673444444,0.17195825,0.5666666667,-9.5324444444,0.37845,45.1952152743,1.7495483272,-6.3280209264,-9.4764174236,16.5444609876,-23.1413020226,-4.2186412943,-3.2577111493,-5.0296529748,-0.9764027534,-8.8689875532,0.0350356217,45.4605722574,3213.5293120508,1708.9082901085,1730.6672925151,701.9195935287,847.0553095595,507.5939591503,557.3140580671,277.196768795,295.9695052818,250.9637099256,179.140640999
