user_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,loudness,valence,mffc1-mean,mffc2-mean,mffc3-mean,mffc4-mean,mffc5-mean,mffc6-mean,mffc7-mean,mffc8-mean,mffc9-mean,mffc10-mean,mffc11-mean,mffc12-mean,mffc1-variance,mffc2-variance,mffc3-variance,mffc4-variance,mffc5-variance,mffc6-variance,mffc7-variance,mffc8-variance,mffc9-variance,mffc10-variance,mffc11-variance,mffc12-variance,relax
User_171762,0.6042,0.1533,132.6332,0.04056,0.21704273,0.19839143,0.5134,-7.6572,0.4335,46.8765530653,9.4625249892,5.2064823119,-7.9939527668,16.6455566984,-24.1984153807,2.4358180182,-1.4185273694,-3.7485396467,2.3609812516,-9.3654823123,-0.3994293841,54.5507689731,3202.2284685403,1657.4209330292,1463.029181317,710.0384109744,714.1230149741,607.5105390903,489.9816064775,273.3797368514,279.4588763869,269.2426308686,212.8974338498,1
User_441115,0.8201666667,0.1450666667,113.2495,0.1115833333,0.1549333333,0.0001292367,0.6648333333,-5.8998333333,0.6426666667,49.8853541633,51.4964736856,3.538994252,-0.9655247224,23.9532072462,-22.0849129241,-2.9000495136,0.5562952579,-4.6975338231,0.0975959491,-9.5598612399,1.3844464384,24.9094084539,1580.6595730341,1771.7739396058,1562.1892954579,704.6041006636,908.475418464,744.4904186925,493.469967108,233.3233375103,303.8418567774,315.6317155129,186.8713442506,1
User_1371491,0.915,0.488,171.166,0.0458,0.0348,0,0.356,-5.93,0.555,51.0627016129,57.6197275986,21.0138207885,-16.6896290323,12.4939390681,-26.5673575269,-10.4746908602,-0.7992777778,-5.1730116487,1.1603422939,-6.9480277778,-2.6331344086,25.4739752212,715.8912744925,831.10495981,489.2681549349,322.4195038348,168.6794275626,390.6966984559,209.0011613452,134.6197591739,120.3146861213,84.2490737526,131.5984395622,1
User_482303,0.501,0.1312923077,120.066,0.0369,0.3963041538,0.2507548469,0.4987692308,-9.9423076923,0.3040230769,44.6145586048,-14.4408581178,-8.5847249558,-14.1442967076,14.3883317591,-25.0932487569,-1.1744820126,-2.7974779109,-1.9005774984,-0.8254215529,-7.9926255531,-0.0724603045,54.9371008298,2776.5632152491,1653.2795071526,1183.2448699501,628.6349799097,605.509055798,484.149958187,401.2265807406,259.3016297764,247.3096094909,203.2672726499,190.2895606456,1
User_1143572,0.855,0.539,147.4055,0.10545,0.193,0.00000805,0.4905,-5.8325,0.407,50.56946804,41.4377029414,17.5458547113,-3.0759927792,26.3169864025,-23.0744727585,2.0075702246,4.5489817381,-7.744232104,2.0277232237,-10.7468744447,0.4583711667,27.6251163461,2793.5036495477,2069.7628927249,1290.716369375,792.8351943876,627.0414736075,664.7785934674,469.3595228559,245.8566556897,285.0807582387,251.642795981,207.4610608256,1
User_92184,0.753,0.28545,127.926,0.0554,0.00875,0.0585084,0.686,-5.3155,0.4775,50.7741439216,51.2457087775,-10.8452839587,2.8610820521,14.2699849896,-35.1698989931,5.1783686421,2.7110635246,-10.1202655424,7.4825327414,-11.0535417363,1.5220915167,22.2402608752,2342.92106355,2164.2840342891,2264.4120512008,643.6303298791,1073.8612307509,672.8162361261,403.5649932038,186.702475182,290.1134582012,317.1723641149,173.0956528462,1
User_1363859,0.75,0.129,134.972,0.0346,0.0000873,0.615,0.541,-6.799,0.164,49.4681073944,28.5330809859,-8.1908591549,-16.4565422535,-7.6632077465,-31.264931338,10.4945915493,0.5668133803,2.4756971831,4.2684190141,-10.6178732394,0.0173996479,28.9944932883,1294.4285184061,1176.9363438249,641.8488283897,372.8056227857,525.2414450694,318.0014108946,270.9052183919,172.5314828252,199.7329630128,150.9005584107,165.5404986989,1
User_1103094,0.7925,0.2908333333,120.3823333333,0.1523166667,0.0511966667,0.0093492867,0.597,-6.354,0.5713333333,48.7075111246,55.8830550728,2.8598781591,-5.9199505588,18.8548579023,-25.5234038627,-1.0028834671,1.2800723339,-1.3554728451,1.2943867596,-10.304320633,0.325907627,30.9318482338,2496.2097066668,1803.4460200363,1552.6415920634,763.3563022802,787.8386153263,533.6374822681,538.0623207644,272.6172410993,291.4865431573,278.5178624001,203.9425080189,1
User_222758,0.6641621622,0.1947216216,121.447972973,0.0479783784,0.2415573081,0.0236489262,0.5461891892,-6.5761621622,0.5469378378,49.0738552124,30.1286340091,7.4065139263,-8.8580864246,15.5269141151,-21.198168542,-1.803672641,-1.8869772828,-6.779180022,-0.3372261498,-9.8581070478,-1.4275896942,35.2454847745,2104.9115621663,1432.5731625453,1347.2338397948,671.4409382364,680.4930958953,540.8579108519,470.1022736155,246.5948859462,270.3485375194,257.7761262047,201.506619526,1
User_353801,0.476,0.09215,113.7365,0.03735,0.06135,0.0137215,0.419,-9.5745,0.2955,43.6643186723,3.7828832427,11.3325291789,-9.2056345724,11.2108165623,-22.0777153636,7.929465039,-2.3101005791,-4.3652991109,-1.195484629,-9.754728103,2.0953819755,74.0031693316,3245.2372716518,1414.0417893071,1102.2986550123,619.3848099007,636.8072402757,582.9262361553,630.0551804243,252.4243163368,257.8965046942,260.3890736263,204.4998080234,1
User_430662,0.6616666667,0.2377222222,120.0376666667,0.0541777778,0.3939633333,0.0373424222,0.5467777778,-6.7672222222,0.4287222222,48.550212708,19.071520482,6.4288472803,-8.1788920815,22.2646581612,-25.194177767,-5.0838505249,-2.1697799843,-6.8867444428,0.1101100912,-8.3228213674,1.9204704762,37.0081291219,2596.9982374892,1833.4324155782,1408.2859463618,753.9126301453,677.3185006794,626.0471155648,514.0690948004,259.6827268002,277.8203229025,262.9672454831,220.0976763963,1
User_1466318,0.5876666667,0.4309,145.901,0.0381666667,0.446,0.0003433333,0.503,-6.6246666667,0.4516666667,48.0987894646,14.8209253523,16.7600408243,-2.4847057198,16.2104487821,-14.217218288,-3.0592810868,-0.5479370815,-7.6340254933,1.035748589,-9.8478429561,-3.253202542,36.9785994632,2596.162438344,1417.7170314872,1445.2491776553,597.019546931,826.5005880276,699.7929701753,496.4173514437,199.6736540037,303.7677371158,268.1698544863,282.2822363671,1
User_206624,0.600875,0.156775,111.809625,0.0450125,0.383525,0.0075231338,0.573625,-9.464125,0.463125,45.9751471065,-1.7302487195,5.886345418,-7.7780808894,14.3406008671,-21.867665996,0.0696632476,0.469318313,-8.6951867177,-2.1733045249,-7.7586813498,0.4688600115,33.6557902291,2064.3773977182,1402.0301339153,1210.6874686238,555.3900016769,728.3084236463,537.8790599902,466.7780377183,223.1569901085,276.8813515096,214.8082749713,201.4494736943,1
User_692760,0.683,0.0917,95.483,0.0361,0.338,0.195,0.296,-8.932,0.272,44.7708941909,-28.3193838174,4.1179564315,-13.5704004149,13.6174958506,-31.7728184647,-7.4530943983,-4.7413371369,-1.3912406639,0.5641587137,-6.6452251037,-9.2333008299,92.868961723,1540.335716405,1640.2125711424,717.3441425581,529.9726024538,410.4390584623,290.3837574293,312.5737904397,218.5408857053,165.1623193445,130.5995583491,196.3851812864,1
User_1129247,0.873,0.239,129.298,0.0484,0.0339,0,0.502,-4.044,0.595,52.1596814286,63.67434,11.2414657143,-8.9883214286,8.8038657143,-24.3100014286,2.1384557143,0.1214585714,-11.2122457143,1.25219,-9.2985742857,1.1084571429,52.5393018397,1915.8673673034,1090.0632508186,605.8195359609,494.1613529376,410.3526296781,428.3250323543,426.6008592558,194.7615853845,254.551770981,156.2291803393,206.8544600025,1
User_208931,0.5778333333,0.1854166667,96.5958333333,0.0386833333,0.362555,0.13651831,0.4546666667,-7.5231666667,0.2466166667,47.2927713299,20.4646057298,14.549225782,-9.2635971755,20.0012811955,-23.6511519326,-9.2185156544,-3.9030350837,-0.7181370249,1.1320280543,-9.0765013178,-2.172662716,38.2673197818,2013.3304196046,1282.7103248458,1213.5625925092,896.2677275437,557.3017876701,537.0029345795,422.6841105113,270.7709370961,226.5806626047,197.4089186466,178.9887863431,1
User_60513,0.5270125,0.2590125,126.04875,0.04455,0.2718375,0.033077075,0.448625,-9.688875,0.4715,45.5802179129,15.9207845652,-0.500335273,-12.5237118601,18.0388718586,-22.15885288,-0.4194865704,-0.1875250327,-3.113583736,0.2476559065,-9.881303435,2.5549544785,50.2043418015,2867.3324677635,1919.0496994248,1472.3736373209,561.7473758517,716.0390539634,527.2548567515,486.5495669054,235.5726785216,282.171195345,295.8256183958,172.742814344,1
