"user_id","energy","liveness","tempo","speechiness","acousticness","instrumentalness","danceability","loudness","valence","mffc1.mean","mffc2.mean","mffc3.mean","mffc4.mean","mffc5.mean","mffc6.mean","mffc7.mean","mffc8.mean","mffc9.mean","mffc10.mean","mffc11.mean","mffc12.mean","mffc1.variance","mffc2.variance","mffc3.variance","mffc4.variance","mffc5.variance","mffc6.variance","mffc7.variance","mffc8.variance","mffc9.variance","mffc10.variance","mffc11.variance","mffc12.variance"
"User_154870",0.5571666667,0.2328333333,98.0583333333,0.0924,0.3116333333,0.1464865,0.5511666667,-7.3796666667,0.5656666667,47.2634883444,16.4019998761,-0.7717025811,-2.7714888805,20.7421695925,-21.9539508723,-6.9896880034,-5.8810421199,-0.117511698,-0.8608896013,-12.0305069022,-2.2827275438,36.8842712435,3039.7550055412,2501.7301047977,1936.2734567128,908.8025342033,853.7091635638,590.8468097003,602.4420419084,345.7775261508,341.9111213888,334.9984209403,218.3895052803
"User_775173",0.565,0.1414875,120.859625,0.090125,0.2263325,0.31528825,0.66925,-8.679,0.4172375,44.8897359188,-22.317910678,-18.358308678,-1.7559286786,25.2929615099,-29.876896186,4.9595333498,-5.409840881,-3.3705514071,-1.9886766122,-12.0465244373,-1.0415805523,45.1179550567,5157.0081975138,3205.9002288195,2716.0994967983,1064.8726137336,1196.7198781911,579.4600486534,731.9312737744,352.9919075375,390.1281704418,360.4364972978,200.76888928
"User_1195786",0.674,0.0962,157.966,0.0415,0.0348,0.000126,0.533,-6.067,0.517,47.7981946903,24.831011378,-8.2797130215,-11.7138027813,52.2163994943,-36.0838394437,18.6494058154,1.9862528445,-0.0842831858,1.6628204804,-13.0428268015,-7.7007648546,124.3497132658,12214.4749510062,4716.4209081213,2159.179555113,1323.5055750124,743.6345113577,1220.2690244794,896.5355122119,672.461630864,447.7771246462,320.4491968649,222.5982124358
"User_614406",0.4041428571,0.5613,127.6882857143,0.0374285714,0.4517142857,0.0838695657,0.3764285714,-10.806,0.3415714286,43.4471901871,8.1553446735,23.8314843414,-7.3786777956,29.2611435471,-22.6562002087,-4.7467039352,-0.4959408448,-5.3112768274,-2.1634100504,-7.546113059,-0.1163766833,60.3414058089,3715.5502685624,2865.161845493,1782.4489603972,981.2830480543,561.5032139887,638.5029235888,482.1249609149,298.4822834853,231.5172046847,271.2390339954,205.951242976
"User_1213103",0.3525,0.111,116.205,0.04485,0.4005,0.302,0.675,-9.543,0.4445,43.0801364727,-17.99865929,-35.2446462272,-8.0223574461,17.6281084358,-19.5791529982,-5.5371264265,-0.2924708376,-5.6319505656,-3.2236985846,-12.2253580924,0.5631328614,73.999974677,4342.4264185973,4790.9752696388,3327.3495994239,1038.5496134637,1297.3442572154,764.9684816588,983.9765645699,331.0193265434,442.6861282257,508.4857191546,183.5841496014
"User_13858",0.6046,0.21946,99.1892,0.07068,0.2167,0.52279,0.4982,-10.3024,0.4168,44.729012493,6.1830624132,-7.5640912731,-10.6110516966,6.8790076744,-27.4513610451,1.2347894248,-2.725002289,-4.5070948824,-0.7864904043,-8.5331306267,1.2907728912,39.5388612524,2782.8548830768,2328.8245726885,1346.4284001675,846.6943102733,617.187050469,677.429963528,429.5503192953,344.4883985169,272.7544698947,245.7422739666,254.8637210909
"User_808252",0.822,0.119,92.409,0.0341,0.194,0.000153,0.709,-6.178,0.456,48.0170685279,60.176001692,-12.9389255499,-3.4226565144,34.4511742809,-23.5165448393,-7.1307681895,-10.5122453469,5.1637876481,-0.8682546531,-10.6107554992,5.089501692,73.2339674068,2433.6532882489,2499.7555739352,2111.9993772045,669.6828565894,710.6200103972,628.1010981833,683.7155963055,283.2948410599,335.4831717141,308.3233180697,289.0851400572
"User_283794",0.43535125,0.15891875,117.4178333333,0.0727583333,0.5264814583,0.5154302125,0.5452708333,-12.9261666667,0.4278875,40.2863219387,-31.6489033252,-18.8265648904,-0.9395485022,33.4167841331,-26.4671026057,-7.7395364635,-5.3861903542,-3.1382628592,-1.5832265551,-10.4490874126,1.8671279145,42.9701552548,4077.0133728183,2710.6876566594,2596.1439053527,842.6706749936,1093.5377427456,632.7853813949,755.3731335179,301.8112982824,403.489999944,366.5090559543,205.5629316018
"User_1410250",0.725,0.199,150.019,0.122,0.0369,0.397,0.523,-8.511,0.413,46.9149232013,4.7528043654,-16.2194939369,-12.893200485,17.6538237672,-35.1091713824,9.2602134196,-2.6952489895,-0.4330161681,2.7216483428,-10.4160759903,1.3036443007,28.624636571,4892.1500835863,2561.2185232049,1768.7064613498,1237.6811867262,988.1787570596,667.6727914706,574.9013993425,333.9249182295,379.1535957071,400.7194321755,194.5528235643
"User_1729669",0.409,0.137,139.949,0.159,0.276,1.07e-05,0.459,-11.529,0.158,42.2657523511,-0.5278551724,-8.1217912226,-15.3946075235,18.6008250784,-18.6658877743,-6.0036539185,-2.0562796238,0.0474326019,-1.3477667712,-11.9555191223,-6.1670545455,40.6147162253,4599.1454725907,4429.6735444062,2966.9512968634,1400.7202374092,1006.5558082553,1025.5135956506,742.6717133433,431.7414021214,411.9742353232,366.4374847655,293.853881019
"User_483608",0.6216666667,0.0935,111.7693333333,0.0407,0.0133566667,0.2800429,0.6383333333,-6.5823333333,0.3540333333,45.986392192,28.1436380963,-16.1879814813,-5.4835835249,10.0122062804,-26.154697734,8.6706404879,-1.0016833385,-2.1502530521,-1.7981019355,-11.174075452,2.086150727,64.7830471688,3758.2514087091,3827.0975146771,2238.8330954846,1023.6925692826,1126.1826687146,658.3128113422,638.732083794,346.595942764,348.7957288623,302.5609143541,234.5179910091
"User_468269",0.3107142857,0.1189714286,132.9848571429,0.0392428571,0.4284442857,0.1368080886,0.491,-11.6578571429,0.2357285714,41.7924078875,21.7320315122,-12.645844461,-19.649578849,18.9941278723,-18.7430044452,-7.5224169784,-3.4765460284,-5.8376852987,-1.2398959246,-11.4953905568,1.7137235403,66.0900768739,4611.7906382446,2552.8358974569,1765.8146905288,992.5935841686,774.0503527339,623.0413399255,597.6661123606,316.1370499472,326.1985777821,278.7263189341,250.0990268451
"User_373036",0.5083333333,0.1241333333,114.664,0.0446333333,0.302,0.0199726667,0.728,-10.776,0.6103333333,42.4118024814,-19.7569792499,-47.6572128026,-7.1668572936,34.1677910768,-29.467342989,-0.3321632863,-11.2451671768,-3.9808838853,1.570486474,-10.0464586759,-4.2931611734,42.0515719446,3270.6289461705,2668.1985263886,2121.2505458326,999.4282828125,1340.9593353049,666.2145802558,735.3530455872,322.0830591595,424.1645513475,357.1090323703,190.9455695185
"User_67696",0.857,0.148,89.129,0.075,0.00952,0.674,0.591,-3.487,0.582,50.0346987818,23.5616334441,-10.4229700997,3.9046467331,14.831414175,-30.9797253599,3.8516434109,-5.7703997785,-21.7963211517,-5.2578150609,-4.3920276855,2.0127718715,19.461833652,3201.2492969376,2702.8843267608,1279.1926125569,1111.1953519214,1204.7173459201,1182.4653168439,592.5187326172,580.4360072604,461.3162799469,323.3183095325,247.0037155887
