user_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,loudness,valence,mffc1-mean,mffc2-mean,mffc3-mean,mffc4-mean,mffc5-mean,mffc6-mean,mffc7-mean,mffc8-mean,mffc9-mean,mffc10-mean,mffc11-mean,mffc12-mean,mffc1-variance,mffc2-variance,mffc3-variance,mffc4-variance,mffc5-variance,mffc6-variance,mffc7-variance,mffc8-variance,mffc9-variance,mffc10-variance,mffc11-variance,mffc12-variance,relax
User_30317,0.488,0.31686,140.9058,0.04872,0.248812,0.088050508,0.5252,-12.0322,0.4812,42.5944142671,22.5075314342,-22.380752316,-5.8973942441,8.0250052508,-22.2201978392,0.7943458445,-3.6682135367,-6.6883783773,2.3513558696,-11.07098216,1.7729122602,32.2990750535,3043.5262448525,2267.6751265319,2299.78619713,767.3295007095,1092.3110652486,519.5732141816,641.1785912972,307.9190526224,384.9759676061,339.0641435577,187.9692545989,1
User_289492,0.4866875,0.17631875,110.9563125,0.04553125,0.432512,0.03113901,0.530625,-9.6894375,0.4639375,44.9265026882,11.8757285385,-8.0471295164,-10.567766898,17.5188006061,-20.2247099292,-3.9259893096,-2.9641225517,-7.3975756078,-1.0000908117,-9.3189145314,3.5162622087,47.0273522201,2264.9188140091,1785.5238914372,1718.9214875942,713.295820716,775.8375708707,566.9970919605,532.5460682542,275.0471754309,298.140043738,274.8564521267,194.7505581879,1
User_657578,0.2891785714,0.1296785714,115.6023571429,0.0326357143,0.6860785714,0.0725649114,0.5111428571,-13.0411428571,0.3972857143,41.0122815122,-17.6559605052,-21.8383045877,-19.3999518514,11.9060174002,-20.7523753258,-8.0979933337,-5.708582592,-5.9311918337,-0.9201133155,-8.1728415625,5.2644063679,48.5365055097,3265.8992408748,1452.8429548909,1321.6936213601,578.6063271383,657.0363781655,456.105090501,547.9648615652,255.4544484942,293.9775701914,260.1687548349,180.8978395363,1
User_531843,0.455,0.103375,110.597,0.038525,0.5276425,0.21075038,0.52475,-10.52475,0.386,43.7091218147,-27.6956682311,-10.0934866837,-13.1383530022,13.5632052527,-20.3184924618,-2.8572637262,-0.5890357974,0.7045881205,1.6904540423,-9.9400467826,-0.1377073856,42.5872062438,2602.419727156,2054.3741065261,1667.145447566,707.3007193266,849.3049436662,487.8049971831,440.3188033708,266.2556959799,261.3383287668,295.0809650957,187.9043487173,1
User_350700,0.5302,0.10658,103.5142,0.0318,0.33688,0.03424824,0.4644,-7.9776,0.3192,46.4211669098,-7.7070660462,-5.6599181935,-15.9186359362,18.5752790631,-29.3806154507,-1.0226972112,-3.5262597752,-12.3301663776,-1.7480312425,-6.8990501419,-0.494326863,50.0840614239,3092.4463606198,1528.6585504652,940.828497379,704.9935648758,508.7675969682,574.6213182015,522.3649115573,262.6384849037,259.7875172846,184.7178459558,210.555788178,1
User_376714,0.6176,0.14726,134.0246,0.04266,0.31084,0.6868,0.6168,-8.7734,0.52554,44.2386210089,7.1600755299,-35.1054596187,8.8335307365,22.5626456292,-34.5806526032,-12.8494721366,-5.7382532317,-10.7885948858,-1.236266535,-8.6488137278,3.6110726678,37.5538480538,3482.2132212374,2499.5439952353,2021.481859323,908.2351917573,1278.1315366972,581.1440002305,649.6229651842,323.380675122,373.6506221016,337.2549270998,180.7095527525,1
User_165194,0.5870054795,0.1889150685,124.1068493151,0.0491726027,0.2908683,0.1229593174,0.5224109589,-8.8415068493,0.4780863014,46.3335053586,12.501417239,-0.7665321139,-10.0047283387,18.4535296715,-22.5686861826,-4.1182651475,-1.8995298057,-5.0581601782,-0.458193894,-9.2905746151,-0.7236261453,40.6202214233,2768.7214192532,1707.2923163081,1488.9997571896,844.4996390263,749.2042206032,518.1799277602,493.1997892858,274.4870641551,286.6260204012,265.9509134605,190.2939723517,1
User_414289,0.4060909091,0.2607090909,101.2759090909,0.0574545455,0.4434545455,0.0963728455,0.4273636364,-11.9418181818,0.2873181818,42.3004866338,1.2835577062,-2.2796277968,-15.3679293278,15.6076499777,-21.4650089937,-3.0185258089,-2.5442396717,-3.444256277,-1.0555071247,-9.6217404154,0.876315109,56.7257168709,2563.0327716506,1814.8222957937,1321.2550490778,600.9202252681,560.0224730547,549.1353192186,419.9642327763,290.9442174869,241.5873041171,215.6323243973,195.6732224838,1
User_1334387,0.6295,0.148675,109.9475625,0.042575,0.27543625,0.3893619375,0.5325625,-8.3193125,0.32145625,46.7669039014,0.3783847282,1.639799821,-6.1820016879,15.3662025683,-27.952159026,1.8647540145,-1.4879730826,-1.8400976423,0.0536483553,-8.0159700289,2.1232089457,41.804158963,3624.707869737,2122.8187171095,1275.155498999,711.3827110044,706.365381711,522.5207705772,366.0397492156,246.5235995794,244.8440702068,209.7602220171,186.0699099325,1
User_260502,0.4889,0.2724285714,124.7945714286,0.0372714286,0.3809842857,0.0783601643,0.4028571429,-9.1367142857,0.1312571429,45.3969528947,4.6598804253,0.8195750279,-18.7527917883,17.9367931138,-28.6266865806,-6.8269913321,-2.480035339,-1.1100553152,-0.7389217349,-6.6898121016,2.5555093433,53.9174479101,3586.3445237413,1850.6068067713,1004.6707737335,761.3918033879,432.0290270908,600.9238239036,331.7141869855,252.2504576818,207.4198536425,171.3885083382,217.6842289044,1
User_259820,0.5736590909,0.2010522727,116.4392727273,0.0431840909,0.3030591591,0.1048526252,0.54675,-7.9173409091,0.4278045455,46.7625131904,13.2626437551,-1.4251548853,-8.8163574482,16.9043435796,-22.1848761138,-2.56999489,-4.1815235993,-4.3531021341,-0.8871853556,-9.4521157686,-0.6627169859,43.4251048026,2565.2882254937,1730.5479765056,1553.1454917732,690.7450367679,777.347660416,535.2540044192,485.8047084331,258.3361562608,290.7248258901,273.5597574598,214.8934686258,1
User_552263,0.5201111111,0.1275,119.2618888889,0.0578666667,0.3698,0.0777289756,0.523,-8.3328888889,0.3789888889,46.4864823973,-2.0829837822,-10.070208434,-14.8960375321,12.6649314363,-21.7939524287,-4.7348026709,-2.387039148,-4.7491761377,0.8556277038,-10.7013571297,-1.0511516952,40.5763372544,2923.4261244329,1520.5994966117,1531.6692819205,699.2237275737,671.1910309567,613.1329554752,540.7887760714,269.4986145005,311.6307830038,269.2958416884,221.0669860167,1
User_1312389,0.5636,0.18432,136.6612,0.0406,0.2392,0.001898742,0.5892,-7.7964,0.5882,46.141393597,30.6035258481,9.1188559671,-4.571202216,24.6722759218,-18.1532376161,-1.0985374483,-1.4519657308,-8.8745277891,-0.0248161427,-10.5048561228,-0.8987482171,53.2645396935,2787.0592562768,2433.3620161698,2064.4073305054,801.0760066507,971.4563466702,664.5626024903,507.5414947809,300.7432842135,282.1154527185,338.6443106591,254.0238523341,1
User_184577,0.5462857143,0.1629,124.063,0.0391142857,0.4115714286,0.0246285429,0.6105714286,-8.2718571429,0.4188714286,45.6276355509,15.7292089513,2.0942658664,-7.2423642985,36.5072218139,-25.043236832,-10.8961650528,-7.0801524552,-5.9767623948,0.6821032471,-8.91044806,-0.3881398149,59.4825183676,3621.0434552396,2784.1554836724,1798.8752714851,946.7621319964,891.3146060471,789.2215350267,741.5573255744,363.2163648169,380.0217277134,342.906412722,217.1415671404,1
User_165316,0.3971,0.15747,100.6153,0.06461,0.6055,0.5483275,0.5281,-12.9907,0.3558,40.6510982753,-37.0100215461,-23.0737874865,-15.0548306743,23.6414999943,-24.8954598375,-6.0640219779,-5.2751713025,-2.4507219745,-4.0745389368,-8.2610359887,1.108250148,64.9857235522,5287.4374985034,1972.9885730794,1496.2752816326,649.8936911418,746.3474495973,480.4742719428,493.774167619,275.6434174694,282.8291100768,216.7584667326,168.2574476761,1
User_1020933,0.5224444444,0.1713777778,125.8504444444,0.0389666667,0.4017166667,0.2724655444,0.4452222222,-8.772,0.2627111111,46.3864210709,-19.5164327844,-6.9890119677,-17.8519386552,19.4118040959,-29.5082554264,3.3778802574,-1.9057582275,-0.455715327,0.2544271734,-8.5054216808,0.9442761376,44.3234828601,2722.1730663829,1669.6402108995,1248.5021120473,591.0791490691,509.2964721149,531.7908211479,432.3321443233,231.098123503,232.0160766454,196.4979100337,181.9516854184,1
User_354730,0.2819,0.138275,119.4071666667,0.0333666667,0.785,0.0814467442,0.51775,-14.1675833333,0.274025,40.038972903,-41.3711457874,-26.3770682189,-22.4389922621,23.229336058,-22.1912334614,-12.1618411401,-5.9680679947,-2.0857257394,-2.651014342,-8.2926493223,2.0018407283,47.345812227,3641.3875845212,1418.4925704156,1623.4813591591,691.6034886627,677.7606795876,483.2446958216,558.3750185448,274.18341133,300.6562306015,269.0156640146,179.0434921123,1
User_151948,0.4185180723,0.1362686747,124.385939759,0.044053012,0.5287874699,0.0410034036,0.5900963855,-11.7282891566,0.5240192771,42.5774355957,-0.6346622326,-11.5057998874,-9.6818734747,21.9909687032,-17.4996264942,-4.7347333459,-3.2368182309,-4.6236961031,-1.1217486578,-9.8826812583,3.5949865649,42.906153386,2592.9315739362,1816.7699259699,1880.4286375125,666.3512883758,892.4080200768,562.2100362691,554.5406750419,277.7492729955,318.409768482,330.6386490425,219.0333456911,1
User_131261,0.4627777778,0.1556111111,113.5324444444,0.0478666667,0.5555222222,0.5577954444,0.4521111111,-11.7811111111,0.2964666667,43.4916297788,-39.0626625426,18.4219571116,-9.8918374216,23.6322399466,-26.8123715626,2.7004333899,-0.5299741982,-10.8524314893,-5.2360379815,-5.8446998641,0.3674835639,48.461670076,2475.6884232149,2028.2181842102,1196.4893321945,818.6548799959,512.6468675068,635.8619453178,330.9044263808,300.3750757506,204.7253922952,174.322269256,202.8340906946,1
User_422324,0.2470625,0.1361875,128.487125,0.0408125,0.850175,0.7026,0.298,-17.917125,0.119575,36.6755925386,-87.2070913343,23.8402058647,-0.1155259201,32.1466464314,-27.7329286292,-4.2954874685,1.4131435938,-7.004731694,-4.7097077577,-3.6879002029,4.2396494634,43.1082976803,2571.5871155697,1510.6754763451,1255.8473546395,639.0853009481,372.6495667113,571.8019987863,253.9396666851,273.1707330531,143.8234142483,158.2780579893,226.697786254,1
User_793757,0.4515882353,0.1780764706,118.4937647059,0.0367882353,0.4391158824,0.0012444976,0.4750588235,-8.2822941176,0.295,45.9548268237,7.0584116416,0.8819047213,-17.405226704,19.9834615133,-19.5876554543,-6.0689450516,-2.7945548874,-3.2665018289,-1.5087459379,-9.4620562227,0.6943982871,54.374766661,2815.5374175228,1898.9179329041,1850.3923452517,714.6861365618,676.956446901,654.0277468533,512.5862134767,290.4818578348,274.3542636082,307.7334676166,227.2516027349,1
User_103233,0.3705,0.1106333333,116.7173333333,0.04285,0.67508,0.303259135,0.4561666667,-15.0386666667,0.3474166667,39.9751965905,-48.6138599803,-12.1267231785,-19.7033165365,25.0349206181,-25.9740687297,-5.9369155558,-1.3246838048,-6.2317736451,-3.0810218097,-7.9412112047,1.2850678998,42.1660334938,2906.5490934878,1561.7142447658,1214.8354913451,744.6903569641,588.2145793315,609.131538456,552.7678543329,277.8696443238,265.4550423039,217.1765401394,203.2424635321,1
