"user_id","energy","liveness","tempo","speechiness","acousticness","instrumentalness","danceability","loudness","valence","mffc1.mean","mffc2.mean","mffc3.mean","mffc4.mean","mffc5.mean","mffc6.mean","mffc7.mean","mffc8.mean","mffc9.mean","mffc10.mean","mffc11.mean","mffc12.mean","mffc1.variance","mffc2.variance","mffc3.variance","mffc4.variance","mffc5.variance","mffc6.variance","mffc7.variance","mffc8.variance","mffc9.variance","mffc10.variance","mffc11.variance","mffc12.variance"
"User_1156585",0.4944545455,0.1311545455,106.6367272727,0.0563272727,0.2791332727,0.2288335864,0.6482727273,-10.8117272727,0.6898181818,43.613243868,27.7520420071,-12.8122260661,1.1407161991,11.7118893634,-17.4385454868,-5.0936675367,-4.4606059004,-6.6746261235,2.1278155167,-12.6310735125,-1.9835058273,35.9026061798,2300.8757868774,2224.9949028591,2169.8942110308,789.415709936,1254.9877177914,695.2450766785,523.693894085,337.3017333109,333.6652998136,346.5279371144,238.1134720817
"User_1462472",0.556,0.163,180.027,0.0654,0.153,0.59,0.603,-9.863,0.514,44.6076920245,-84.7644171779,-17.2612822086,-7.416606135,1.8545472393,-30.6740503067,11.784197546,-0.1483288344,2.0284404908,-6.0982404908,-14.9323398773,-5.8940650307,29.756106636,6000.2182858208,1368.5094121488,3398.9202067132,909.3811677616,1459.1980195663,588.4059570776,784.9016621129,174.7548974114,404.0919100625,566.0786308413,111.5851619995
"User_824439",0.604,0.082,184.909,0.294,0.114,3.98e-06,0.629,-5.639,0.627,47.9278915055,21.8575214466,-10.1775777965,0.8966753574,27.9270555088,-10.2475004205,7.2128873003,1.5115222876,-4.5339949537,-1.1647872161,-14.6978015139,2.2983221194,22.8670625261,1822.6896816993,2386.0439356533,2542.621520477,1082.5541320373,1240.2724684842,839.3815929098,730.1239888002,246.531424973,336.6530608714,501.5459811458,253.4241013078
"User_153350",0.620625,0.2108125,114.737875,0.0737375,0.345875,0.1004240513,0.7475,-8.955,0.702,45.3767370078,5.6032596127,-13.3521427195,-0.2860629476,16.025505112,-15.7607073195,2.8566428754,-1.5063943172,-6.7790820533,1.1088243674,-12.7482816087,1.6513105596,47.7922016125,1886.3990256541,1474.6543829352,2185.6925112141,622.7215127485,1112.611694525,557.3477546696,678.6241034361,262.9917037607,363.3278664487,376.3041418288,216.8874832912
"User_856196",0.6513333333,0.3463333333,114.6876666667,0.0368,0.3387156667,0.0212058333,0.7563333333,-5.9853333333,0.5593333333,46.7241004101,28.0482291493,3.9405800919,3.0746656594,21.9039319203,-21.5930491066,-2.3017483927,2.2260304969,-5.5163473954,1.9633825895,-10.1930165624,-4.8140732932,53.3479925159,3361.777126404,2129.2228620703,2232.2151972019,812.2778417226,1088.5287385115,576.0930133488,496.4956774125,295.9541349393,310.2048938103,345.2313903793,229.8121639898
"User_63913",0.6196666667,0.1224333333,108.8073333333,0.1725333333,0.066,0.168,0.7046666667,-8.474,0.346,45.5072329888,7.5996931133,-41.3419311122,-9.9547284713,28.3727971598,-29.4102677288,-2.7456319077,-1.5260792987,-7.8997711582,2.8596872481,-12.7597683832,-8.0563792564,41.6201694813,2980.3906792365,2979.8957688535,2506.1483360451,706.25749416,1448.8046648551,653.7450867983,880.3978263514,379.7729814267,380.0415694773,399.1931473279,203.3929421451
"User_260007",0.5848333333,0.1521833333,98.7408333333,0.1059166667,0.1954433333,0.0004746667,0.5755,-7.5131666667,0.4006666667,46.4315502639,27.5913650235,-16.0194358451,-12.303170277,17.1785163776,-24.7938025916,-4.4282899884,-0.0166021754,-0.3899084403,2.4683006724,-13.4621288108,-2.7869316165,35.7320702319,2459.7399375768,1798.9078987687,2195.6395725557,907.3817460162,916.9856129889,603.5400699568,515.2349997374,361.3383966003,297.9101456289,344.6004491469,208.3598708001
"User_33734",0.5686,0.252,109.5882,0.12388,0.289,0.180224264,0.814,-9.212,0.6368,44.0565845316,3.8831756241,-30.0946193326,4.6415095871,17.030391427,-18.8794969404,-8.6745369339,0.0820421636,-7.2391239239,1.0079134635,-14.3525672768,2.0476786557,40.7089145017,5351.0728002449,2424.8990834778,4061.9896320144,689.8420548431,1149.7485284279,528.6593884513,709.0583464449,314.9203711511,330.5573890697,432.3230143015,236.8070745338
"User_408142",0.773,0.20185,116.8368333333,0.0854666667,0.077666,0.277500985,0.686,-6.2533333333,0.6321666667,48.2699105433,16.2554243511,-9.6503182926,14.0386557147,19.1442602486,-27.2068232554,-3.2840824813,-3.9744978442,-1.9078039845,-1.3639130739,-10.3969928787,-0.4433309687,27.7603252065,2630.8531858393,2018.6599116795,3848.4784718338,829.773975331,1315.9558448617,554.143559878,644.9355007809,313.2790039032,383.5308606044,727.1848354016,190.6982378915
"User_843284",0.459,0.0742,78.097,0.109,0.00834,0,0.758,-5.947,0.828,46.2278083721,51.7200818605,-27.0147023256,6.2677730233,23.4717506977,-9.7609590698,0.9489255814,-1.2317125581,-10.1111851163,5.3665209302,-20.8063255814,-10.0936195349,41.5276756578,2243.9511683378,3552.9282669597,4588.0181682408,1113.8638068819,2164.3149566501,1067.7989021863,796.5835845849,344.4163820858,437.9445277209,553.6399102961,230.8908763905
