user_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,loudness,valence,mffc1-mean,mffc2-mean,mffc3-mean,mffc4-mean,mffc5-mean,mffc6-mean,mffc7-mean,mffc8-mean,mffc9-mean,mffc10-mean,mffc11-mean,mffc12-mean,mffc1-variance,mffc2-variance,mffc3-variance,mffc4-variance,mffc5-variance,mffc6-variance,mffc7-variance,mffc8-variance,mffc9-variance,mffc10-variance,mffc11-variance,mffc12-variance,relax
User_154870,0.5571666666666667,0.23283333333333334,98.05833333333334,0.0924,0.3116333333333334,0.1464865,0.5511666666666667,-7.379666666666666,0.5656666666666667,47.26348834436618,16.401999876086446,-0.7717025811253359,-2.771488880469017,20.742169592505366,-21.95395087230986,-6.989688003424162,-5.881042119880193,-0.11751169800036292,-0.8608896012880405,-12.030506902176555,-2.28272754378277,36.88427124352402,3039.755005541192,2501.7301047977376,1936.2734567127845,908.8025342033184,853.7091635637538,590.846809700255,602.4420419084184,345.77752615082045,341.9111213887713,334.99842094028094,218.38950528029306,1
User_775173,0.565,0.14148750000000002,120.859625,0.090125,0.2263325,0.31528825,0.66925,-8.679,0.4172375,44.889735918832514,-22.317910677992792,-18.35830867801775,-1.7559286785678894,25.292961509865453,-29.876896186020762,4.959533349816477,-5.409840881043895,-3.3705514070886506,-1.9886766121937351,-12.046524437279897,-1.0415805523008166,45.11795505673394,5157.00819751375,3205.9002288194783,2716.0994967983174,1064.8726137336084,1196.719878191123,579.4600486533996,731.9312737743842,352.9919075374598,390.1281704417516,360.43649729776416,200.76888927995034,1
User_1195786,0.674,0.0962,157.966,0.0415,0.0348,0.000126,0.533,-6.067,0.517,47.79819469026549,24.83101137800253,-8.279713021491782,-11.713802781289507,52.216399494311,-36.0838394437421,18.649405815423513,1.986252844500632,-0.08428318584070796,1.6628204804045512,-13.042826801517068,-7.7007648546144125,124.34971326584518,12214.4749510062,4716.420908121337,2159.1795551129544,1323.5055750123543,743.6345113577333,1220.2690244794092,896.5355122119381,672.461630864008,447.7771246462129,320.449196864901,222.5982124357759,1
User_614406,0.4041428571428572,0.5613,127.68828571428571,0.03742857142857143,0.4517142857142857,0.08386956571428571,0.37642857142857145,-10.806,0.3415714285714286,43.44719018712202,8.155344673491511,23.831484341442863,-7.378677795649357,29.261143547095887,-22.656200208715113,-4.746703935190099,-0.49594084483564077,-5.3112768273527,-2.1634100504375966,-7.546113058973461,-0.11637668333330334,60.34140580887197,3715.5502685624037,2865.161845492991,1782.4489603971797,981.2830480542492,561.5032139886779,638.5029235887697,482.1249609148501,298.48228348533155,231.5172046847243,271.2390339954075,205.95124297603834,1
User_1213103,0.35250000000000004,0.111,116.205,0.04485,0.40049999999999997,0.302,0.675,-9.543,0.4445,43.0801364727415,-17.998659289985,-35.244646227205095,-8.022357446114999,17.628108435793507,-19.57915299817573,-5.537126426500176,-0.29247083762363,-5.63195056564323,-3.2236985845963892,-12.22535809238201,0.5631328613819224,73.9999746769931,4342.426418597274,4790.975269638837,3327.349599423891,1038.5496134637121,1297.344257215362,764.9684816588439,983.9765645699376,331.0193265433763,442.6861282256896,508.48571915462685,183.58414960143926,1
User_13858,0.6046,0.21946,99.1892,0.07067999999999999,0.21670000000000003,0.52279,0.49820000000000003,-10.3024,0.4168,44.72901249295556,6.1830624131886225,-7.564091273128538,-10.611051696561699,6.879007674428131,-27.451361045066438,1.234789424775948,-2.7250022889966092,-4.507094882422374,-0.7864904043237879,-8.533130626661592,1.290772891229581,39.53886125238374,2782.854883076773,2328.8245726885357,1346.4284001674691,846.6943102732921,617.1870504690007,677.4299635280283,429.5503192953038,344.4883985169013,272.7544698946996,245.742273966609,254.86372109087105,1
User_808252,0.822,0.119,92.409,0.0341,0.194,0.000153,0.709,-6.178,0.456,48.01706852791878,60.17600169204738,-12.938925549915398,-3.422656514382403,34.45117428087986,-23.5165448392555,-7.130768189509306,-10.512245346869712,5.163787648054146,-0.8682546531302877,-10.610755499153976,5.089501692047378,73.23396740681561,2433.6532882489387,2499.7555739351806,2111.9993772045254,669.6828565894142,710.6200103972257,628.1010981833056,683.7155963055457,283.2948410598642,335.48317171409775,308.32331806971996,289.0851400571521,1
User_283794,0.43535125,0.15891875,117.41783333333332,0.07275833333333333,0.5264814583333334,0.5154302125,0.5452708333333333,-12.926166666666667,0.4278875,40.286321938654666,-31.648903325183472,-18.826564890391364,-0.9395485022041915,33.41678413312947,-26.467102605707268,-7.739536463488648,-5.386190354233391,-3.138262859192658,-1.583226555143732,-10.449087412620514,1.8671279144844315,42.97015525484817,4077.013372818324,2710.6876566593737,2596.143905352737,842.6706749936048,1093.5377427456235,632.7853813948542,755.3731335178836,301.81129828235254,403.48999994394967,366.5090559542841,205.562931601808,1
User_1410250,0.725,0.199,150.019,0.122,0.0369,0.397,0.523,-8.511,0.413,46.914923201293455,4.752804365400162,-16.219493936944218,-12.893200485044462,17.653823767178658,-35.109171382376715,9.26021341956346,-2.6952489894907035,-0.43301616814874705,2.7216483427647535,-10.416075990299111,1.3036443007275667,28.624636570958028,4892.150083586292,2561.218523204858,1768.7064613497412,1237.6811867261983,988.1787570596011,667.6727914705964,574.9013993424849,333.92491822951183,379.15359570714327,400.7194321754506,194.55282356431417,1
User_1729669,0.409,0.137,139.949,0.159,0.276,1.07e-05,0.459,-11.529,0.158,42.26575235109718,-0.527855172413793,-8.121791222570533,-15.394607523510972,18.600825078369905,-18.66588777429467,-6.0036539184952975,-2.0562796238244516,0.04743260188087771,-1.3477667711598746,-11.955519122257053,-6.167054545454545,40.61471622533167,4599.145472590681,4429.673544406196,2966.9512968634313,1400.7202374091573,1006.555808255277,1025.5135956505414,742.6717133433424,431.74140212139565,411.9742353232364,366.4374847654748,293.85388101898025,1
User_483608,0.6216666666666667,0.09349999999999999,111.76933333333334,0.0407,0.013356666666666664,0.28004290000000004,0.6383333333333333,-6.582333333333334,0.35403333333333337,45.98639219199947,28.143638096301856,-16.18798148133382,-5.483583524863712,10.012206280388076,-26.154697734044007,8.670640487874747,-1.0016833385388135,-2.1502530520682153,-1.7981019354874521,-11.17407545196567,2.0861507270301565,64.78304716877203,3758.2514087090713,3827.097514677092,2238.8330954845437,1023.6925692826193,1126.182668714641,658.3128113421886,638.7320837940123,346.5959427639996,348.79572886229766,302.5609143540899,234.51799100906882,1
