spotify_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,loudness,valence,mode
0yg7FyRNxkdm3UZWbiFqCb,0.0597,0.0994,63.455,0.04,0.993,0.888,0.259,10,-23.302,0.0642,1
5NA4FRJ4K2v7Sh9mjNiY48,0.407,0.104,129.918,0.0373,0.594,0,0.358,5,-7.201,0.242,0
52lMiIStdv8w3psKD3dKl2,0.313,0.136,107.01,0.0279,0.354,0.943,0.554,5,-16.085,0.167,1
1xIpD6XttTz5gomev8vXRH,0.37,0.108,153.606,0.0285,0.594,0.701,0.312,9,-10.747,0.0796,1
3bHJbYLf3WMKVjMSY7n6Jz,0.261,0.141,83.622,0.031,0.904,0.0491,0.183,3,-10.343,0.0741,1
