spotify_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,loudness,valence,mode
3XjsdEun6XcO2Gs4lJCueH,0.595,0.222,106.397,0.0343,0.277,0.718,0.244,7,-9.186,0.225,1
2LM0YZ36WnhoTMtNCslnzn,0.503,0.0768,127.38,0.03,0.801,0.0012,0.6,5,-8.076,0.735,1
083PqLCrRr2TCvaVsl7s7p,0.772,0.199,124.14,0.0469,0.0237,0.0577,0.494,11,-6.846,0.336,0
3KsrZX4r73mVd9tBCSyI3y,0.47,0.115,200.254,0.0299,0.0611,0,0.279,2,-6.39,0.144,1
46Xnj8vZFwOZCE4aZNXlTf,0.98,0.358,135.93,0.0868,0.00172,0.00282,0.487,7,-4.21,0.175,0
49teFCzjv4Kj9WjJ5oMvRc,0.523,0.124,104.918,0.0251,0.566,0.00901,0.664,5,-8.725,0.797,1
4WvfcU7QCkI49HjUQckTqA,0.621,0.0885,173.486,0.0269,0.217,0.51,0.533,2,-4.34,0.274,1
6iauWiTLMHAbxhN4IvZj2M,0.367,0.134,141.45,0.0295,0.153,7.24e-06,0.427,4,-9.128,0.14,1
02ww0c8o8q5oKwjjKx5Qjn,0.246,0.111,101.426,0.0355,0.932,5.01e-06,0.484,0,-10.179,0.325,0
3bLLgPMpAT7Vvh8P1GexXr,0.665,0.0992,145.977,0.0386,0.0328,1.27e-05,0.558,1,-7.652,0.753,1
2LthqyP0MLhGUBICwR1535,0.0812,0.118,125.053,0.0398,0.979,0.416,0.676,2,-22.846,0.314,1
1zDfRonK0SNPe0tYUT1riP,0.45,0.0856,80.998,0.0289,0.532,0.00327,0.57,11,-7.584,0.0892,0
3zpiqklBFbm5TLrtMwepmn,0.232,0.107,154.79,0.0584,0.824,0.000438,0.545,7,-11.381,0.698,1
2XwsJ7Pnm9UWDY5R3aaq63,0.785,0.922,102.618,0.0377,0.041,0.336,0.396,0,-8.098,0.397,1
68stneOVYFQuDL0wRrBDWf,0.491,0.086,118.801,0.0295,0.196,3.24e-06,0.531,7,-8.404,0.505,1
3kusLGvgYkZldKfoDoJklR,0.647,0.288,104.345,0.0274,0.062,4.72e-05,0.321,3,-6.514,0.287,1
2iAP4oTt3NiUZCztU4Q8Gu,0.723,0.143,99.957,0.0354,0.215,0.532,0.674,3,-7.374,0.435,1
4snuV3YuvIySLyA2QaNY53,0.25,0.331,97.091,0.0437,0.849,0.00398,0.648,5,-13.893,0.0451,0
