spotify_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,loudness,valence,mode
7jxNl5VKoUeN3CG9vtKcFw,0.445,0.0584,106.004,0.0444,0.161,0.0014,0.952,9,-8.085,0.775,0
0CIvOZBEQmVtePr3dHZMPO,0.525,0.115,119.364,0.0371,0.782,0.0254,0.792,5,-7.985,0.644,0
7gUpO6td4OOnu0Lf9vhcIV,0.794,0.111,120.024,0.0375,0.0344,0.0445,0.684,8,-6.08,0.773,0
3Xn9RDEH7KCfA6xpTMCvxf,0.815,0.111,168.011,0.027,0.00192,0,0.518,10,-4.937,0.423,0
3ou9rSNUQnE7XYmJkUUIOc,0.405,0.231,129.54,0.0265,0.539,6.7e-06,0.608,9,-8.607,0.233,1
0Q5U5alAt2pjop9331E5cQ,0.694,0.159,129.844,0.0311,0.161,0,0.616,3,-5.421,0.484,0
283LAlCpfArRZOXPfkOQj0,0.692,0.0726,140.029,0.0997,0.00586,0.000116,0.634,1,-5.646,0.0839,0
0AcZL4zY29jBlVp2lVA23O,0.354,0.129,152.062,0.0474,0.632,0.0196,0.823,1,-8.809,0.21,1
0ey9VL7lFerteaCVvahKYV,0.391,0.0946,87.95,0.0304,0.0862,0.78,0.704,5,-12.418,0.687,1
