spotify_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,loudness,valence,mode
5LtFx2PtrZqRds0cZxDBiw,0.73,0.161,104.948,0.0359,0.0988,1.35e-05,0.482,4,-6.05,0.527,1
6zaKzSQwWtxqAvBvoubEWo,0.756,0.0989,95.999,0.0304,0.453,0,0.595,4,-4.524,0.553,0
7vRdcsmD92oErIQDnmp60e,0.535,0.113,116.035,0.0375,0.767,0.00172,0.654,6,-8.251,0.479,1
3JXH2tUeLMvWdYoa5EbmCP,0.304,0.167,124.162,0.0336,0.951,4.94e-05,0.459,7,-10.855,0.0772,1
6L7dqBGPCLlBkmtzd2chDS,0.933,0.128,120.081,0.0812,0.0133,0,0.57,11,-4.233,0.289,0
6wH485H4wsmKWCZSDs3eCW,0.537,0.164,146.975,0.137,0.303,2.85e-06,0.719,3,-6.301,0.833,0
