spotify_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,loudness,valence,mode
0CJ3Y3V6UQn5X7IjXDO3IO,0.901,0.326,140.651,0.279,0.0262,5.02e-05,0.879,9,-5.961,0.849,0
5e19Bbtw6ndKN9SX28ohQC,0.931,0.906,104.974,0.0447,0.0191,0.00253,0.637,10,-5.115,0.696,0
7eDrxsh5PQnsqiVNZxN9Z6,0.668,0.122,83.047,0.273,0.285,1.85e-06,0.761,4,-7.081,0.455,1
2pKz7VwnE93ABEJKIB8M0H,0.537,0.0908,98.127,0.267,0.353,1.92e-05,0.868,7,-8.161,0.381,1
6bvV5L5afKykg819xAIJWt,0.8,0.286,96.48,0.216,0.507,0.000549,0.686,1,-7.279,0.467,1
0SADXPubFbFXu7ZR3M86io,0.815,0.281,94.009,0.179,0.0582,0.000569,0.833,10,-4.563,0.76,0
0AVN0HhFMvAImRG2fqQBdO,0.925,0.17,93.07,0.308,0.233,1.78e-05,0.756,1,-3.502,0.631,1
