spotify_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,loudness,valence,mode
08t55fz74zFgkIrHiLPecf,0.543,0.154,81.495,0.0672,0.129,0,0.797,10,-10.061,0.798,1
6kBuHuvEzKwVqc7Wl7UYzy,0.604,0.144,92.001,0.122,0.00223,0,0.778,11,-5.131,0.673,0
6KbOZuVqlTxrnsu6DuAs76,0.562,0.0528,143.972,0.0612,0.0407,2.78e-06,0.828,9,-6.26,0.732,0
5GQaLen4w5m5YiJmzYfegN,0.587,0.055,77.688,0.0604,0.00545,0,0.827,8,-8.189,0.539,0
2EDRUNdur7CGV2W2mwIRoS,0.584,0.102,134.204,0.0793,0.0387,0,0.836,7,-8.219,0.68,1
