spotify_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,loudness,valence,mode
0i1UzKuh3IoRP1MG5fQ8Pc,0.812,0.102,139.702,0.204,0.666,0,0.621,9,-5.237,0.503,0
6pvd8OBnYlV6FqskUOvWlx,0.489,0.622,92.043,0.196,0.27,1.8e-06,0.728,1,-12.137,0.664,1
00762tXbSj2w2bQMVydJZn,0.532,0.111,172.096,0.0764,0.0948,8.93e-06,0.756,9,-5.096,0.571,1
1KnUt0rICeoLFYPSL40fsU,0.933,0.19,94.43,0.353,0.0842,1.16e-06,0.653,6,-5.5,0.881,1
687HYwo1qBFCJn3AXGkPwJ,0.833,0.157,101.056,0.125,0.0397,0,0.733,5,-6.099,0.874,1
