spotify_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,loudness,valence,mode
3jddVlOT1QHbpUUKrEZRur,0.456,0.267,82.121,0.0364,0.267,5.29e-06,0.751,6,-9.454,0.221,0
0PV1TFUMTBrDETzW6KQulB,0.672,0.147,206.247,0.412,0.125,1.04e-06,0.59,1,-11.792,0.688,1
3fT9dyFnGSiXYfNOLZi3Ew,0.782,0.351,140.061,0.0543,0.0946,1.17e-06,0.829,5,-6.699,0.733,1
4eoRzZzyJ229aP2amYCbmn,0.784,0.111,106.102,0.0441,0.797,0.963,0.714,8,-10.05,0.683,0
19uRWxrBqI1QN5hgAszXDj,0.865,0.336,94.82,0.0582,0.0925,0,0.643,4,-8.813,0.399,0
