spotify_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,loudness,valence,mode
67Hna13dNDkZvBpTXRIaOJ,0.419,0.135,76.997,0.0395,0.0173,0.497,0.615,11,-8.8,0.216,0
6pvd8OBnYlV6FqskUOvWlx,0.489,0.622,92.043,0.196,0.27,1.8e-06,0.728,1,-12.137,0.664,1
00762tXbSj2w2bQMVydJZn,0.532,0.111,172.096,0.0764,0.0948,8.93e-06,0.756,9,-5.096,0.571,1
33kHQOfRyScXTCJh4TnK1T,0.672,0.0608,96.436,0.061,0.0622,0.000289,0.855,1,-5.242,0.799,1
2EDRUNdur7CGV2W2mwIRoS,0.584,0.102,134.204,0.0793,0.0387,0,0.836,7,-8.219,0.68,1
49Su9fsYwmnnuJSyxj48kL,0.197,0.0725,136.12,0.0346,0.977,0.0139,0.394,2,-11.719,0.228,0
08t55fz74zFgkIrHiLPecf,0.543,0.154,81.495,0.0672,0.129,0,0.797,10,-10.061,0.798,1
