spotify_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,loudness,valence,mode
3WdYIUmhqn7svMJio4p4aH,0.678,0.129,83.992,0.233,0.325,0,0.732,8,-6.938,0.504,1
3mRWXjgHmDJTrGDaZhGkCM,0.682,0.0667,148.08,0.0469,0.13,0.615,0.653,7,-4.781,0.974,1
445qQk3nyQwmjf4vzDghKd,0.565,0.193,153.942,0.0553,0.0736,0.000504,0.701,7,-10.709,0.899,1
5886UeLB6fyW8XwBRim6Fg,0.608,0.113,164.634,0.034,0.0127,0.000231,0.433,7,-7.211,0.431,0
48UObczRoNQ76z6mK1d2Wd,0.677,0.221,100.707,0.219,0.365,0,0.866,7,-6.557,0.817,1
6bvV5L5afKykg819xAIJWt,0.8,0.286,96.48,0.216,0.507,0.000549,0.686,1,-7.279,0.467,1
73QZ6guw6RTWn3d6hJWzbX,0.805,0.0824,152.134,0.123,0.0252,0,0.716,6,-7.347,0.52,1
0PV1TFUMTBrDETzW6KQulB,0.672,0.147,206.247,0.412,0.125,1.04e-06,0.59,1,-11.792,0.688,1
586RiDib7Qerd5cVa6Pfir,0.718,0.109,92.005,0.182,0.0531,0,0.84,2,-4.379,0.59,0
