spotify_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,loudness,valence,mode
5lCRPA4XEg4VPbNu0lDHBA,0.373,0.303,138.513,0.061,0.735,0,0.717,7,-7.185,0.538,1
3mRWXjgHmDJTrGDaZhGkCM,0.682,0.0667,148.08,0.0469,0.13,0.615,0.653,7,-4.781,0.974,1
5886UeLB6fyW8XwBRim6Fg,0.608,0.113,164.634,0.034,0.0127,0.000231,0.433,7,-7.211,0.431,0
